Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Traag, V.A., Waltman, L.","35093318100;14632830700;","Systematic analysis of agreement between metrics and peer review in the UK REF",2019,"Palgrave Communications","5","1", 29,"","",,1,"10.1057/s41599-019-0233-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065047372&doi=10.1057%2fs41599-019-0233-x&partnerID=40&md5=87b6fad57a5d9db97eec2f8907720258",Article,"Final",Open Access,Scopus,2-s2.0-85065047372
"Traag, V.A., Waltman, L., van Eck, N.J.","35093318100;14632830700;14632651000;","From Louvain to Leiden: guaranteeing well-connected communities",2019,"Scientific Reports","9","1", 5233,"","",,5,"10.1038/s41598-019-41695-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063527139&doi=10.1038%2fs41598-019-41695-z&partnerID=40&md5=a0f9853fab142a5f331e435a8400120f",Article,"Final",Open Access,Scopus,2-s2.0-85063527139
"Wouters, P., Sugimoto, C.R., Larivière, V., McVeigh, M.E., Pulverer, B., de Rijcke, S., Waltman, L.","7007025330;24465855600;14028805600;16313463800;57190959678;24469683900;14632830700;","Rethinking impact factors: better ways to judge a journal",2019,"Nature","569","7758",,"621","623",,3,"10.1038/d41586-019-01643-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067310602&doi=10.1038%2fd41586-019-01643-3&partnerID=40&md5=f573e041f39384ed5897947bb1159cff",Note,"Final",Open Access,Scopus,2-s2.0-85067310602
"Bascur, J.P., van Eck, N.J., Waltman, L.","57208315782;14632651000;14632830700;","An interactive visual tool for scientific literature search: Proposal and algorithmic specification",2019,"CEUR Workshop Proceedings","2345",,,"76","87",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064426749&partnerID=40&md5=244dcc75651d970a45f0c2d21c258751",Conference Paper,"Final",,Scopus,2-s2.0-85064426749
"Van De Laar, L., De Kruif, T., Waltman, L., Meijer, I., Gupta, A., Hagenaars, N.","57195549291;56011298100;14632830700;55212387800;57203840411;23389071100;","Improving the evaluation of worldwide biomedical research output: Classification method and standardised bibliometric indicators by disease",2018,"BMJ Open","8","6", e020818,"","",,,"10.1136/bmjopen-2017-020818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053143923&doi=10.1136%2fbmjopen-2017-020818&partnerID=40&md5=c7e8fc2128c7207d9fc532919da782ad",Article,"Final",Open Access,Scopus,2-s2.0-85053143923
"Colavizza, G., Boyack, K.W., van Eck, N.J., Waltman, L.","56543751700;6603501746;14632651000;14632830700;","The Closer the Better: Similarity of Publication Pairs at Different Cocitation Levels",2018,"Journal of the Association for Information Science and Technology","69","4",,"600","609",,7,"10.1002/asi.23981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034268646&doi=10.1002%2fasi.23981&partnerID=40&md5=f239f6fb233d7aebddb2801f78302100",Article,"Final",,Scopus,2-s2.0-85034268646
"Fortunato, S., Bergstrom, C.T., Börner, K., Evans, J.A., Helbing, D., Milojević, S., Petersen, A.M., Radicchi, F., Sinatra, R., Uzzi, B., Vespignani, A., Waltman, L., Wang, D., Barabási, A.-L.","7005680829;7004918484;7006188708;34770162000;7005232363;16029209200;25625762800;6508172257;36572604700;6603149512;7004546582;14632830700;56033994900;7006567633;","Science of science",2018,"Science","359","6379", eaao0185,"","",,72,"10.1126/science.aao0185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042855814&doi=10.1126%2fscience.aao0185&partnerID=40&md5=9db82947e17f3f84b5fec45a9ea72f87",Review,"Final",Open Access,Scopus,2-s2.0-85042855814
"Boyack, K.W., van Eck, N.J., Colavizza, G., Waltman, L.","6603501746;14632651000;56543751700;14632830700;","Characterizing in-text citations in scientific articles: A large-scale analysis",2018,"Journal of Informetrics","12","1",,"59","73",,24,"10.1016/j.joi.2017.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036452854&doi=10.1016%2fj.joi.2017.11.005&partnerID=40&md5=f2ae9faf1c1f4123ead2eb0613df8ab4",Article,"Final",,Scopus,2-s2.0-85036452854
"Van Eck, N.J., Waltman, L.","14632651000;14632830700;","Analyzing the activities of visitors of the Leiden Ranking website",2018,"Journal of Data and Information Science","3","3",,"81","98",,,"10.2478/jdis-2018-0015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057737836&doi=10.2478%2fjdis-2018-0015&partnerID=40&md5=01bd06fd0f9dd09b568e6bf5bab0dfe4",Article,"Final",Open Access,Scopus,2-s2.0-85057737836
"Waltman, L.","14632830700;","Special section on performance-based research funding systems",2017,"Journal of Informetrics","11","3",,"904","",,3,"10.1016/j.joi.2017.05.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020481507&doi=10.1016%2fj.joi.2017.05.015&partnerID=40&md5=3a12f3d62248a5d33437ace91247871a",Editorial,"Final",,Scopus,2-s2.0-85020481507
